Unnamed: 0,date,open,high,low,close,volume,ticker
0,2024-10-07,224.5,225.69,221.335,221.69,39163132,AAPL
1,2024-10-04,227.9,228.0,224.13,226.8,37345098,AAPL
2,2024-10-03,225.14,226.805,223.32,225.67,34044158,AAPL
3,2024-10-02,225.89,227.37,223.02,226.78,32880605,AAPL
4,2024-10-01,229.52,229.65,223.74,226.21,63285048,AAPL
